name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
落合,447,1239,2,0,0,0,5,12,29,53,59,84,100,84,54,41,23,14,8,13,7,4,1,0,0,0,1,15
早稲田,448,3756,3,0,0,0,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
神楽坂,449,1907,2,0,0,0,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
九段下,450,7263,0,0,1,1,3,10,62,51,91,95,94,100,74,53,40,33,21,14,9,11,5,2,1,1,4,31
竹橋,451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
門前仲町,452,2487,1,0,6,11,14,37,76,84,74,61,100,56,24,45,23,11,4,5,0,0,0,2,0,0,0,6
木場,453,3459,3,1,1,23,37,25,59,79,100,93,66,33,29,19,7,13,27,3,1,3,1,1,0,0,1,9
東陽町,454,5526,3,1,1,23,38,25,59,79,100,93,65,33,29,19,7,13,27,3,1,3,1,1,0,0,1,9
南砂町,455,2727,3,1,1,23,37,25,59,79,100,93,66,33,29,19,7,13,27,3,1,3,1,1,0,0,1,9
西葛西,456,5862,2,2,5,14,22,50,67,100,52,41,39,30,19,13,8,4,2,6,0,0,1,1,1,0,0,8
葛西,457,3746,3,0,0,19,42,91,87,91,100,92,76,60,15,47,36,10,0,5,5,2,1,1,1,0,0,23
千駄木,458,1343,2,0,0,0,5,12,29,53,59,84,100,84,54,40,23,14,8,13,7,4,2,0,0,0,2,15
根津,459,1326,3,0,0,0,5,12,29,53,59,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
湯島,460,1671,2,0,0,0,5,12,29,53,59,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
新御茶ノ水,461,4468,2,0,0,0,5,13,29,54,60,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
二重橋前,462,1685,2,0,0,0,5,12,29,54,60,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
赤坂,463,4441,3,0,0,0,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,2,0,0,0,2,15
乃木坂,464,1973,2,0,0,0,5,12,29,53,59,84,100,84,54,41,24,14,8,13,7,4,1,0,0,0,1,15
明治神宮前,465,4975,3,0,1,1,5,13,29,54,60,84,100,84,54,41,24,14,8,14,7,4,2,0,0,0,2,15
代々木公園,466,1308,2,0,0,0,5,12,29,54,60,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
北綾瀬,467,1478,3,1,1,23,37,25,58,79,100,93,65,33,29,19,7,13,27,2,1,3,1,1,0,0,1,8
地下鉄成増,468,2297,0,0,6,7,21,27,59,94,100,89,70,48,26,21,17,13,19,10,3,0,2,2,0,0,0,12
地下鉄赤塚,469,1705,0,0,6,7,21,27,59,94,100,89,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
平和台,470,2760,3,1,7,9,22,23,100,65,57,41,20,22,16,5,2,0,0,0,0,0,0,1,0,0,0,9
氷川台,471,1755,0,0,6,7,21,27,59,94,100,89,69,47,27,21,17,13,19,10,3,0,2,2,0,0,0,12
千川,472,1818,2,0,0,0,5,12,29,54,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
要町,473,1882,2,0,0,0,5,13,29,53,59,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
東池袋,474,2019,2,0,0,0,5,12,29,54,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
護国寺,475,2030,3,0,0,0,5,13,30,53,60,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
江戸川橋,476,2474,2,0,0,0,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
麹町,477,3017,3,0,0,0,5,12,29,54,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
永田町,478,3851,0,1,5,3,5,8,64,58,73,82,96,100,72,57,62,30,31,11,3,16,3,7,2,3,1,37
桜田門,479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
銀座一丁目,480,1783,2,0,0,0,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
新富町,481,1855,3,0,0,0,5,12,29,54,60,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
月島,482,6882,3,0,1,1,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,2,0,0,0,2,15
豊洲,483,11067,3,1,1,23,37,25,59,79,100,93,65,33,29,19,7,13,27,3,1,3,1,1,0,0,1,9
辰巳,484,1356,3,1,1,23,37,25,58,79,100,93,66,33,28,19,7,13,27,3,1,3,1,1,0,0,1,8
半蔵門,485,4191,3,0,1,1,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,2,0,0,0,2,15
神保町,486,3507,1,0,2,2,3,26,57,69,55,100,90,95,75,76,58,48,36,20,23,13,14,2,0,3,3,45
水天宮前,487,3658,3,0,0,0,5,13,29,54,60,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
清澄白河,488,1769,0,0,0,34,39,27,100,53,62,64,58,44,29,11,6,0,34,33,29,0,0,0,0,0,1,4
住吉,489,4588,3,1,1,23,37,26,59,79,100,93,65,34,29,19,7,13,27,3,1,3,1,1,0,0,1,9
白金台,490,494,2,0,0,0,5,12,29,53,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
白金高輪,491,1281,2,0,0,0,5,12,29,54,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
麻布十番,492,4031,3,0,0,0,5,12,29,54,59,84,100,84,54,41,24,14,8,14,7,4,2,0,0,0,2,15
六本木一丁目,493,3920,3,0,0,0,5,13,30,54,60,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
東大前,494,1351,2,0,0,0,5,12,29,53,59,84,100,84,54,41,23,14,8,13,7,4,1,0,0,0,1,15
本駒込,495,1068,2,0,0,0,5,13,29,54,60,85,100,85,54,41,23,14,8,13,7,4,1,0,0,0,1,15
西ケ原,496,378,0,0,6,7,21,27,58,93,100,89,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
王子神谷,497,1618,0,0,6,7,21,27,59,94,100,89,69,47,27,21,17,13,19,10,3,0,2,2,0,0,0,11
志茂,498,541,0,0,6,7,21,27,58,94,100,90,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,12
赤羽岩淵,499,7390,0,0,3,9,17,29,100,44,38,44,54,36,24,6,12,0,1,0,0,1,0,0,0,0,0,31
雑司が谷,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西早稲田,501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東新宿,502,3912,3,0,0,0,5,13,29,54,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
北参道,503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西馬込,504,2072,2,0,0,25,12,58,87,68,46,77,87,100,31,12,4,5,8,0,0,1,0,0,0,0,0,2
馬込,505,1266,1,0,3,7,18,25,57,95,100,95,71,53,27,18,9,11,9,1,1,3,1,1,1,0,0,24
戸越,506,977,1,0,3,7,19,25,58,96,100,95,72,54,27,19,9,11,9,1,1,3,1,1,1,0,0,24
高輪台,507,682,2,0,0,0,5,12,29,53,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
三田,508,2330,1,0,0,11,57,11,57,50,94,65,93,67,100,57,14,4,10,7,16,0,15,7,0,10,2,22
大門,509,11250,3,0,1,1,5,13,30,54,60,84,100,84,54,41,24,14,8,14,7,4,2,0,0,0,2,15
宝町,510,1464,3,0,0,0,5,12,29,54,59,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
東日本橋,511,1486,0,0,0,2,1,37,81,100,97,99,68,69,29,24,53,9,4,0,0,27,3,0,0,2,0,6
蔵前,512,3310,2,0,0,0,5,12,30,54,60,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
本所吾妻橋,513,857,3,0,0,23,37,25,59,78,100,92,65,33,28,19,7,14,28,2,1,3,1,0,0,0,0,8
芝公園,514,1465,3,0,0,0,5,12,29,53,60,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
御成門,515,2232,3,0,0,0,5,12,29,54,59,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
内幸町,516,2074,2,0,0,0,5,13,29,54,59,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
春日,517,5927,3,0,0,0,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,2,0,0,0,2,15
白山,518,2575,2,0,0,0,5,13,29,54,60,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
千石,519,1425,3,0,0,0,5,12,29,53,60,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
西巣鴨,520,1387,2,0,0,0,5,12,29,54,59,85,100,85,54,41,24,14,8,13,7,4,1,0,0,0,1,15
新板橋,521,1332,0,0,6,7,21,28,59,94,100,90,69,47,27,21,17,13,19,9,3,0,2,2,0,0,0,12
板橋区役所前,522,1514,0,0,6,7,21,28,59,94,100,89,69,48,27,21,17,14,19,9,3,0,2,2,0,0,0,12
板橋本町,523,1534,0,0,6,7,21,28,59,94,100,89,70,47,26,21,17,14,19,9,3,0,2,2,0,0,0,11
本蓮沼,524,1107,0,0,6,7,21,28,58,94,100,89,70,47,27,21,17,14,19,10,3,0,2,2,0,0,0,12
志村坂上,525,1346,0,0,6,7,21,28,59,94,100,89,69,47,26,21,17,13,19,10,3,0,2,2,0,0,0,11
志村三丁目,526,1393,0,0,6,7,21,27,59,94,100,89,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
蓮根,527,846,0,0,6,7,21,28,58,94,100,89,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
西台,528,1179,0,0,6,7,21,27,59,94,100,89,69,48,26,21,17,13,19,10,3,0,2,2,0,0,0,11
高島平,529,2417,2,7,1,19,54,69,33,29,100,51,10,19,14,38,27,2,0,3,0,0,0,0,0,1,0,7
新高島平,530,430,0,0,6,7,21,27,58,93,100,90,70,47,26,21,17,13,19,10,3,0,2,2,0,0,0,11
西高島平,531,576,0,0,6,7,21,27,59,94,100,89,69,47,26,21,17,13,19,9,3,0,2,2,0,0,0,11
曙橋,532,1777,2,0,0,0,5,12,29,54,59,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
小川町,533,1328,41,8,58,85,96,29,28,9,16,70,14,46,61,61,70,73,94,100,51,35,5,17,17,9,8,23
岩本町,534,2513,2,0,0,0,5,13,30,53,60,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
馬喰横山,535,1697,0,0,1,2,4,12,100,20,56,49,68,97,53,9,14,20,9,1,9,0,0,2,2,1,0,77
浜町,536,1053,2,0,0,0,5,13,30,54,60,84,100,84,54,40,24,14,8,13,7,4,1,0,0,0,1,15
森下,537,2549,0,2,0,2,24,17,28,20,43,100,86,58,66,4,16,2,1,0,5,10,7,0,0,0,0,2
菊川,538,1139,3,0,0,23,37,25,58,79,100,92,65,33,28,18,7,13,27,2,1,3,1,0,0,0,0,8
西大島,539,1298,3,1,1,23,37,25,59,78,100,92,65,33,28,19,7,13,27,3,1,3,1,1,0,0,1,9
大島,540,1521,3,0,0,23,38,25,58,79,100,93,65,33,28,19,7,13,27,3,1,3,1,0,0,0,0,9
東大島,541,1439,3,2,10,12,58,100,73,76,88,88,47,67,21,10,7,1,0,24,11,0,0,39,0,1,0,20
船堀,542,2444,1,1,1,35,31,31,37,100,57,78,67,39,56,13,20,57,6,3,1,12,0,3,0,0,1,6
一之江,543,1895,3,2,4,100,55,89,24,80,51,89,79,32,7,3,1,2,0,1,0,0,0,0,0,0,0,17
瑞江,544,3222,3,0,2,12,8,36,34,36,63,100,39,26,25,23,0,8,2,14,0,1,1,0,1,0,0,2
篠崎,545,1816,3,0,0,23,37,25,59,79,100,93,65,33,29,18,7,13,27,3,1,3,1,0,0,0,0,9
三ノ輪橋,546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒川一中前,547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒川区役所前,548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒川二丁目,549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒川七丁目,550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
町屋駅前,551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
町屋二丁目,552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東尾久三丁目,553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊野前,554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮ノ前,555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小台,556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒川遊園地前,557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒川車庫前,558,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梶原,559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栄町,560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
王子駅前,561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
飛鳥山,562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滝野川一丁目,563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西ケ原四丁目,564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新庚申塚,565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
庚申塚,566,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巣鴨新田,567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大塚駅前,568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
向原,569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東池袋四丁目,570,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
都電雑司ケ谷,571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鬼子母神前,572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学習院下,573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
面影橋,574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
赤土小学校前,575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
足立小台,576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
扇大橋,577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高野,578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
江北,579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西新井大師西,580,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
谷在家,581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
舎人公園,582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
舎人,583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見沼代親水公園,584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新宿西口,585,3604,0,0,0,0,0,9,28,21,38,57,100,20,38,27,7,20,5,11,10,14,1,1,1,3,2,8
若松河田,586,1470,2,0,0,0,5,12,30,54,60,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
牛込柳町,587,961,3,0,0,0,5,13,29,54,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
牛込神楽坂,588,692,2,0,0,0,5,13,29,53,59,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
上野御徒町,589,2725,3,0,0,0,5,12,29,54,60,84,100,84,54,40,24,14,8,14,7,4,1,0,0,0,1,15
新御徒町,590,2494,3,0,1,1,5,12,29,54,59,84,100,84,54,40,24,14,8,13,7,4,2,0,0,0,2,15
勝どき,591,4637,3,0,0,0,5,13,29,54,59,84,100,84,54,40,24,14,8,14,7,4,2,0,0,0,2,15
築地市場,592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汐留,593,2888,3,0,1,1,5,13,29,54,59,84,100,84,54,40,23,14,8,14,7,4,2,0,0,0,2,15
赤羽橋,594,1956,3,0,0,0,5,12,29,54,59,84,100,84,54,41,24,14,8,14,7,4,1,0,0,0,1,15
国立競技場,595,468,2,0,0,0,5,12,29,53,59,84,100,84,54,41,23,14,8,13,7,4,1,0,0,0,1,15
都庁前,596,2371,2,0,0,0,5,12,29,53,59,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
西新宿五丁目,597,1639,2,0,0,0,5,12,29,53,59,84,100,84,54,41,23,14,8,13,7,4,1,0,0,0,1,15
落合南長崎,598,1272,2,0,0,0,5,12,29,54,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
新江古田,599,1240,0,0,6,7,21,27,59,94,100,89,70,47,27,21,17,13,19,10,3,0,2,2,0,0,0,12
練馬春日町,600,989,0,0,6,7,21,28,59,94,100,89,69,48,26,21,17,13,19,10,3,0,2,2,0,0,0,11
光が丘,601,4508,0,5,6,6,14,82,63,66,100,53,41,15,14,20,6,4,3,2,0,6,1,1,0,0,0,12
新柴又,602,44,2,0,0,22,36,25,59,79,100,93,65,34,27,18,6,13,27,2,0,2,0,0,0,0,0,6
天王洲アイル,603,1708,1,0,3,7,19,25,57,95,100,95,71,53,27,19,9,11,9,1,1,3,1,1,1,0,0,24
大井競馬場前,604,43,0,0,2,6,18,25,58,95,100,95,72,53,27,18,6,11,9,0,0,2,0,0,0,0,0,23
流通センター,605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
昭和島,606,43,0,0,2,6,18,25,58,95,100,95,72,53,27,18,6,11,9,0,0,2,0,0,0,0,0,23
整備場,607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
羽田空港国際線ビル,608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新整備場,609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
羽田空港第1ビル,610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
羽田空港第2ビル,611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
竹芝,612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日の出,613,103,2,0,0,0,5,12,30,54,60,85,100,85,54,40,23,14,8,13,7,4,1,0,0,0,1,15
芝浦ふ頭,614,241,2,0,0,0,5,12,29,53,59,84,100,84,54,40,23,14,8,13,7,4,1,0,0,0,1,15
お台場海浜公園,615,769,2,0,0,0,5,13,29,53,59,85,100,85,55,40,23,14,8,13,7,4,1,0,0,0,1,15
台場,616,1064,3,0,0,0,5,12,29,54,59,84,100,84,54,40,23,14,8,14,7,4,1,0,0,0,1,15
船の科学館,617,158,3,0,0,24,37,25,58,79,100,93,65,34,29,18,7,13,27,2,1,3,1,0,0,0,0,8
テレコムセンター,618,608,3,0,0,24,37,25,59,79,100,93,65,33,28,18,7,13,27,2,1,3,1,0,0,0,0,8
青海,619,251,3,0,0,23,37,25,58,78,100,92,65,33,28,18,7,13,27,2,1,3,1,0,0,0,0,8
国際展示場正門,620,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
有明,621,235,3,0,0,23,37,25,59,79,100,93,65,34,28,18,7,13,27,2,1,3,1,0,0,0,0,8
有明テニスの森,622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
市場前,623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新豊洲,624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東雲,625,606,3,0,0,23,37,25,59,79,100,93,66,33,29,18,7,13,27,2,1,3,1,0,0,0,0,8
国際展示場,626,3060,3,1,1,23,37,25,59,79,100,93,65,33,29,19,7,13,27,3,1,3,1,1,0,0,1,9
東京テレポート,627,2803,3,0,0,23,37,25,59,79,100,93,66,33,29,19,7,13,27,3,1,3,1,0,0,0,0,9
品川シーサイド,628,2018,1,0,3,7,19,26,57,95,100,94,72,54,27,19,9,11,9,1,1,3,1,1,1,0,0,24
上北台,629,554,1,1,11,18,15,55,79,76,64,100,90,37,20,15,11,6,4,15,2,1,4,4,5,0,2,14
桜街道,630,297,2,2,11,18,15,55,79,77,64,100,91,38,20,15,10,6,4,15,3,2,4,4,5,0,3,14
砂川七番,631,203,1,1,11,18,15,55,78,76,65,100,91,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
泉体育館,632,277,1,1,11,18,15,55,79,76,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
立飛,633,553,1,1,11,18,15,55,79,77,64,100,90,37,20,15,11,6,4,15,2,1,4,4,5,0,2,14
高松,634,342,1,1,11,19,15,55,78,76,64,100,90,38,21,15,10,6,4,15,2,1,4,4,5,0,2,14
立川北,635,1892,2,2,11,18,15,55,79,77,64,100,91,37,21,15,10,6,4,15,3,2,4,4,5,0,3,14
立川南,636,1363,1,1,11,19,15,55,79,76,64,100,90,37,20,15,11,6,4,15,3,1,4,4,5,0,3,14
柴崎体育館,637,183,1,1,12,18,15,55,79,77,65,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
甲州街道,638,379,1,1,11,18,15,55,79,77,64,100,91,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
万願寺,639,343,1,1,11,18,15,55,79,76,65,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
程久保,640,70,1,1,11,18,15,55,78,77,64,100,91,37,20,15,10,5,4,15,2,1,4,4,5,0,2,14
中央大学・明星大学,641,1571,0,4,7,9,32,49,66,75,100,43,76,47,16,11,15,18,9,8,10,3,0,0,1,0,1,15
大塚・帝京大学,642,331,0,4,6,9,32,49,65,74,100,43,75,46,16,11,15,17,9,8,10,3,0,0,1,0,1,15
松が谷,643,117,0,4,6,9,32,49,65,75,100,43,76,47,17,11,15,17,9,8,10,3,0,0,1,0,1,15
多摩センター,644,1577,1,1,11,19,15,55,79,76,64,100,90,37,20,15,10,6,4,15,2,1,4,4,5,0,2,14
青井,645,44,2,0,0,22,36,25,59,79,100,93,65,34,27,18,6,13,27,2,0,2,0,0,0,0,0,6
六町,646,44,2,0,0,22,36,25,59,79,100,93,65,34,27,18,6,13,27,2,0,2,0,0,0,0,0,6
清滝,647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高尾山,648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滝本,649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
御岳山,650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
