name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
代官山,323,0,0,0,0,0,0,42,42,0,162,0,112,0,36,0,0,196,0,0,0,0,0,0,0,0,0
中目黒,324,130,286,1143,1698,4561,5312,14964,10791,11151,11159,13321,12307,8286,4589,4356,2569,1098,901,744,174,410,90,380,266,364,1976
祐天寺,325,282,0,280,314,92,1592,1202,1131,1002,634,810,1618,528,90,352,117,47,140,0,0,0,0,0,0,0,0
学芸大学,326,116,78,332,658,1024,1360,2568,3128,3613,3764,2837,1528,1420,1588,1441,465,122,932,0,128,61,573,116,170,0,954
都立大学,327,151,224,0,274,1084,1474,2156,1674,3525,1948,2950,1708,765,1619,424,56,878,631,273,167,45,110,65,0,106,972
自由が丘,328,650,734,392,1688,5958,5787,10669,10578,13066,13120,11590,8119,5135,3738,3488,1102,1472,761,1628,1265,866,338,816,533,33,6565
田園調布,329,0,0,0,630,957,935,770,1107,912,945,1389,797,173,642,197,154,0,0,248,0,92,0,0,0,0,136
多摩川,330,268,388,306,555,1424,3725,5009,9140,6868,8036,4868,3929,4404,713,931,2148,630,612,1236,41,237,274,110,0,0,653
不動前,331,88,0,0,66,410,388,284,452,1002,1014,650,172,547,255,0,0,0,234,174,26,0,0,0,310,0,182
武蔵小山,332,319,43,58,200,271,1060,2417,715,851,2539,1022,2272,719,800,550,202,446,0,0,510,0,50,50,0,0,503
西小山,333,0,60,86,610,1552,551,1265,848,2338,1507,1308,506,659,842,118,432,130,176,100,104,0,0,46,0,0,74
洗足,334,0,0,0,50,344,159,531,957,571,214,642,213,121,118,496,0,116,138,0,64,0,0,200,0,0,292
大岡山,335,90,78,240,372,790,1165,1561,2094,3575,4233,4645,1770,3477,1524,654,490,191,415,144,189,663,0,200,482,0,628
奥沢,336,0,46,0,88,60,535,396,134,702,476,399,409,380,0,0,0,0,0,38,0,0,0,0,0,0,66
池尻大橋,337,290,0,116,416,602,914,1830,1841,1152,1996,3663,1259,542,1262,260,504,460,185,153,0,358,0,0,0,37,593
三軒茶屋,338,453,72,292,626,1954,2019,5612,3963,4884,7406,5488,3856,3428,2451,1221,2452,502,845,290,446,0,148,266,74,80,1629
駒沢大学,339,438,36,74,931,1995,2325,1359,3348,1993,3112,3003,2207,2504,1322,1362,1064,806,347,150,202,0,86,72,56,130,1026
桜新町,340,0,0,496,1545,1760,3251,2069,2418,2958,2809,2095,639,1189,1042,342,452,698,324,170,0,0,134,76,0,56,1244
用賀,341,86,74,1071,895,1910,3605,2622,3331,3219,3881,1832,1155,1967,744,647,491,58,78,48,244,0,0,426,0,58,1000
二子玉川,342,456,490,1260,3247,5884,7859,13296,13827,16065,12177,9494,8525,5365,3620,4094,2273,845,979,1312,880,538,558,636,428,106,4799
つくし野,343,76,78,504,422,608,1481,486,331,320,324,264,82,184,190,158,0,0,0,0,0,0,0,0,0,0,0
すずかけ台,344,0,0,232,282,289,635,342,211,328,144,78,102,0,0,56,0,0,258,0,0,0,0,0,0,0,80
南町田,345,156,78,786,770,1332,770,843,578,534,278,482,187,261,179,0,196,0,66,0,0,0,0,0,0,348,298
下神明,346,0,0,0,38,44,130,0,162,279,295,0,526,72,0,0,0,0,0,0,0,0,0,0,0,0,0
戸越公園,347,64,0,24,184,58,524,1720,666,347,315,138,32,40,0,480,0,0,0,0,0,0,304,0,0,0,0
中延,348,0,105,140,581,287,1533,475,568,1187,1092,1979,741,96,294,80,41,130,0,110,0,0,0,0,398,0,44
荏原町,349,0,232,52,0,206,593,599,1436,1355,813,478,0,38,40,38,0,0,0,96,0,0,0,0,0,0,18
旗の台,350,90,82,97,308,655,1493,1411,2845,2244,3095,2304,2370,1259,1685,704,180,280,26,0,78,0,158,0,0,0,1262
北千束,351,0,0,32,32,81,385,170,0,208,461,669,182,254,133,67,0,0,112,0,0,0,0,0,0,0,106
緑が丘,352,90,0,0,128,64,64,175,563,626,814,704,430,0,52,274,0,0,0,0,0,0,0,0,0,0,110
九品仏,353,0,0,0,148,112,114,294,309,910,389,312,286,120,0,90,0,0,145,101,0,0,0,0,0,0,0
尾山台,354,0,134,124,152,76,977,1009,1474,915,845,1402,531,738,162,0,90,0,302,0,228,0,0,45,45,0,0
等々力,355,142,0,352,1840,862,878,1242,1336,1402,1514,424,573,305,354,90,0,0,0,0,0,0,45,45,0,0,0
上野毛,356,0,106,188,351,781,862,162,515,1118,793,245,446,632,162,0,104,0,90,0,158,0,0,428,0,0,532
大崎広小路,357,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
戸越銀座,358,0,82,0,136,74,203,89,144,480,580,370,280,130,0,72,30,0,0,0,0,0,0,0,0,0,204
荏原中延,359,124,0,44,0,46,50,98,394,1058,1134,678,561,80,19,19,0,0,128,0,0,0,0,0,0,0,434
長原,360,132,46,0,210,176,559,693,757,858,800,708,264,48,512,48,88,0,62,0,0,0,0,88,0,0,34
洗足池,361,76,18,27,136,256,642,602,920,793,622,1239,531,308,0,66,142,128,0,0,28,28,0,0,0,64,282
石川台,362,0,0,0,250,182,576,1366,857,1330,1102,778,1062,429,377,213,30,151,245,0,0,0,0,0,0,0,484
雪が谷大塚,363,0,0,76,264,368,400,1116,693,2824,1636,988,398,456,118,44,19,19,236,172,0,62,0,0,0,0,414
