name,st_id,bef0600,af0600,af0615,af0630,af0645,af0700,af0715,af0730,af0745,af0800,af0815,af0830,af0845,af0900,af0915,af0930,af0945,af1000,af1015,af1030,af1045,af1100,af1115,af1130,af1145,af1200
新三河島,226,0,0,0,0,50,0,76,35,144,78,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
町屋,227,103,0,225,338,283,429,1202,1641,1433,1531,1121,550,117,258,30,314,0,102,50,0,0,0,128,26,0,93
千住大橋,228,0,0,16,84,0,0,108,154,95,414,29,72,56,43,130,102,0,0,0,0,0,0,0,0,0,0
京成関屋,229,0,0,0,48,87,118,71,134,590,80,326,545,52,37,0,0,0,0,0,0,29,0,0,0,0,32
堀切菖蒲園,230,104,0,32,56,637,272,110,791,848,355,140,141,472,431,395,0,0,0,255,0,0,0,0,0,0,291
お花茶屋,231,0,0,17,207,131,177,1210,403,1114,847,199,57,143,74,113,0,32,0,0,0,73,0,0,0,0,756
青砥,232,176,667,305,861,405,1295,2870,2093,3840,3639,2553,1232,1234,981,555,737,133,301,131,0,0,156,0,116,517,2186
京成高砂,233,66,256,132,209,392,980,2334,1846,3529,1374,1544,1667,873,1063,380,365,92,11,44,43,0,0,58,58,478,432
京成小岩,234,37,0,143,69,171,479,192,929,380,236,273,0,30,0,77,18,38,0,0,27,0,0,0,0,0,0
江戸川,235,0,0,12,344,0,469,55,0,74,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
