name,st_id,passengers,bef0600,af0600,af0605,af0610,af0615,af0620,af0625,af0630,af0635,af0640,af0645,af0650,af0655,af0700,af0705,af0710,af0715,af0720,af0725,af0730,af0735,af0740,af0745,af0750,af0755,af0800,af0805,af0810,af0815,af0820,af0825,af0830,af0835,af0840,af0845,af0850,af0855,af0900,af0905,af0910,af0915,af0920,af0925,af0930,af0935,af0940,af0945,af0950,af0955,af1000,af1005,af1010,af1015,af1020,af1025,af1030,af1035,af1040,af1045,af1050,af1055,af1100,af1105,af1110,af1115,af1120,af1125,af1130,af1135,af1140,af1145,af1150,af1155,af1200
鵜の木,370,1003,3,3,0,0,0,1,7,12,18,3,8,12,0,30,53,27,37,100,50,52,20,28,41,22,11,27,23,55,39,8,27,29,19,48,37,4,15,13,7,4,1,46,46,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1
下丸子,371,861,0,0,0,0,0,0,0,0,0,3,3,5,12,29,20,22,24,24,82,100,38,47,37,23,3,51,72,34,70,39,2,11,24,42,21,57,59,20,17,4,0,0,12,12,12,12,19,19,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
武蔵新田,372,1203,0,0,8,8,0,0,16,25,9,9,18,23,25,23,26,33,19,2,18,31,37,25,58,68,33,23,4,4,24,13,4,14,41,39,21,16,3,3,4,10,10,2,0,3,5,9,7,2,2,2,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
矢口渡,373,457,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,45,38,56,67,78,89,100,77,82,92,89,82,70,46,61,56,35,31,21,26,21,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,3,3,0,0,1,3,0,0,0,1,0,1,1,49
西太子堂,374,14,0,0,0,0,7,0,7,14,14,14,28,21,28,35,50,42,71,57,78,78,100,78,85,85,85,64,78,64,57,50,64,57,42,28,21,28,28,14,14,28,35,14,14,14,7,7,0,7,0,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,64
若林,375,14,0,0,0,0,7,0,7,14,14,14,28,21,28,35,50,42,71,57,78,78,100,78,85,85,85,64,78,64,57,50,64,57,42,28,21,28,28,14,14,28,35,14,14,14,7,7,0,7,0,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,64
松陰神社前,376,14,0,0,0,0,7,0,7,14,14,14,28,21,28,35,50,42,71,57,78,78,100,78,85,85,85,64,78,64,57,50,64,57,42,28,21,28,28,14,14,28,35,14,14,14,7,7,0,7,0,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,64
世田谷,377,14,0,0,0,0,7,0,7,14,14,14,28,21,28,35,50,42,71,57,78,78,100,78,85,85,85,64,78,64,57,50,64,57,42,28,21,28,28,14,14,28,35,14,14,14,7,7,0,7,0,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,64
上町,378,14,0,0,0,0,7,0,7,14,14,14,28,21,28,35,50,42,71,57,78,78,100,78,85,85,85,64,78,64,57,50,64,57,42,28,21,28,28,14,14,28,35,14,14,14,7,7,0,7,0,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,64
宮の坂,379,14,0,0,0,0,7,0,7,14,14,14,28,21,28,35,50,42,71,57,78,78,100,78,85,85,85,64,78,64,57,50,64,57,42,28,21,28,28,14,14,28,35,14,14,14,7,7,0,7,0,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,64
山下,380,8,0,0,0,0,0,0,0,12,12,12,25,12,25,37,50,37,75,62,75,75,100,75,87,87,87,62,75,62,50,50,62,62,50,25,25,25,25,12,12,25,37,12,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
松原,381,14,0,0,0,0,7,0,7,14,14,14,28,21,28,35,50,42,71,57,78,78,100,78,85,85,85,64,78,64,57,50,64,57,42,28,21,28,28,14,14,28,35,14,14,14,7,7,0,7,0,7,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,64
泉岳寺,382,3177,2,0,1,2,0,0,1,1,1,9,2,16,8,11,41,51,27,49,47,54,49,65,62,68,49,77,69,100,85,88,97,42,46,44,28,47,34,36,25,19,14,26,26,9,19,44,11,8,1,2,3,12,4,6,2,5,3,4,26,0,2,1,0,7,15,0,0,1,0,1,0,0,10,35
北品川,383,169,3,0,0,1,0,3,3,4,8,8,11,3,21,11,17,28,45,39,56,68,79,89,100,76,82,92,89,82,71,46,62,56,35,31,20,26,20,23,10,10,5,10,10,10,5,10,18,0,0,0,1,0,0,1,1,5,5,0,0,0,2,2,0,0,1,2,0,0,0,1,0,1,1,49
新馬場,384,297,4,0,0,1,0,4,4,4,8,8,11,4,21,11,17,28,45,39,55,68,79,89,100,77,82,93,89,83,71,46,61,55,35,31,20,26,20,23,9,10,5,9,9,9,5,9,18,0,0,0,1,0,0,1,1,5,5,0,0,0,3,3,0,0,1,3,0,0,0,1,0,1,1,49
青物横丁,385,758,3,0,0,1,0,3,3,5,8,8,11,3,21,11,17,28,45,38,55,67,78,88,100,76,82,93,88,82,70,46,61,55,35,31,20,26,20,23,10,10,5,10,10,10,5,10,18,0,0,0,1,0,0,1,1,5,5,0,0,0,3,3,0,0,1,3,0,0,0,1,0,1,1,50
